type,location,bed,address,total_sqft,bath,price
Contingent,Richmond County,3,476 Darlington Ave,1592,2,748000
Multi-family home for sale,Richmond County,3,307 Ellis St,1928,2,1100000
Townhouse for sale,New York County,8,322 W 104th St,5046,8,3995000
Co-op for sale,Brooklyn,1,202 Baltic St Unit 1,440,1,659000
Multi-family home for sale,Queens County,6,58-15 Granger St,2018,3,1099000
Condo for sale,Bronx County,2,135 Sunset Blvd Unit 10135,1102,2,319000
Multi-family home for sale,Bronx County,9,1670 Nelson Ave,3168,3,999000
Co-op for sale,Queens,3,170-40 Highland Ave Unit 107,1571,2,398000
Co-op for sale,New York,3,100 Park Terrace Ter W Unit 1H,500,1,249000
Multi-family home for sale,Queens County,3,149-19 46th Ave,2648,2,1299000
Townhouse for sale,New York County,3,209 E 31st St,6336,6,8950000
House for sale,Queens County,5,13035 146th St,1500,3,750000
Multi-family home for sale,Kings County,5,1720 E 51st St,1916,3,1100000
House for sale,Richmond County,3,47 Brookside Loop,2380,4,1275000
House for sale,Kings County,2,2848 Brighton 4th St,750,2,689000
Co-op for sale,Queens County,1,2 Dartmouth St Apt M28,2184.207862,1,320000
Townhouse for sale,Kings County,5,37 Prospect Pl Unit Townhouse,2184.207862,6,3995000
Multi-family home for sale,Queens County,6,128-17 143rd St,2500,5,1399000
House for sale,Bronx County,2,111 Sunset Blvd,1089,2,395000
House for sale,Bronx County,4,5037 Fieldston Rd,2273,2,1250000
Co-op for sale,Queens,3,110-11 72nd Ave Unit 4B,1440,2,719000
Multi-family home for sale,Bronx County,3,3121 Corlear Ave,1171,4,795000
Multi-family home for sale,Queens County,6,115-11 142nd St,2184.207862,5,1175000
Condo for sale,Manhattan,3,255 E 74th St Apt 16C,2054,4,4250000
Townhouse for sale,New York County,3,240 E 29th St,2201,4,2500000
Multi-family home for sale,Kings County,3,3836 Laurel Ave,1600,2.373860858,850000
House for sale,Bronx County,4,1932 Narragansett Ave,2948,2,1350000
House for sale,Richmond County,5,314 Montreal Ave,2200,2.373860858,929000
Townhouse for sale,Richmond County,3,216 Hett Ave,2184.207862,2,549990
Multi-family home for sale,New York County,3,217 W 21st St,2184.207862,8,34000000
Multi-family home for sale,Kings County,6,4409 Atlantic Ave,2184.207862,6,1550000
Co-op for sale,New York,1,1777 Madison Ave Apt 32,2184.207862,1,265000
House for sale,Queens County,4,164-47 73rd Ave,1630,2.373860858,879000
Land for sale,New York County,3,2316 1st Ave,2184.207862,2.373860858,1200000
Townhouse for sale,New York County,4,167 E 80th St,4250,2,7500000
Co-op for sale,Queens,2,268-25 82nd Ave Unit 279B,2184.207862,1,325000
House for sale,Queens County,2,202-24 45th Rd,2184.207862,2,755000
Co-op for sale,The Bronx,2,3875 Waldo Ave Apt 2E,2184.207862,2,325000
Co-op for sale,New York,2,258 Broadway Apt 3D,2184.207862,1,1395000
House for sale,Richmond County,3,1056 Arden Ave,980,2,649000
House for sale,Richmond County,2,118 Cannon Ave,800,1,499999
Multi-family home for sale,Richmond County,4,220 Nome Ave,2720,4,999998
Multi-family home for sale,Kings County,6,1016 Putnam Ave,2184.207862,3,1358000
House for sale,Bronx County,5,617 W 227th St,2184.207862,4,1650000
Co-op for sale,Brooklyn,1,299 Henry St Unit D1,2184.207862,1,680000
Co-op for sale,Brooklyn,1,9031 Fort Hamilton Pkwy Apt 6C,650,1,258888
Townhouse for sale,Bronx County,3,1761 Tenbroeck Ave,1283,2.373860858,660000
Co-op for sale,New York,1,315 E 77th St Apt 4D,2184.207862,1,300000
Townhouse for sale,Richmond County,2,42 Post Ln,1270,2,318888
Co-op for sale,New York,1,303 E 57th St Apt 19B,2184.207862,2,330000
Condo for sale,New York,11,400 Central Park W Apt 8H,747,1,747000
House for sale,Queens County,2,78-18 74th St,2184.207862,2,699000
Co-op for sale,New York,1,15 W 72nd St Apt 5T,2184.207862,1,875000
Co-op for sale,The Bronx,2,640 W 231st St Apt 7C,1100,2,385000
Co-op for sale,Jackson Heights,3,84-12 35th Ave Unit 4C,2184.207862,2,985000
Co-op for sale,Queens,1,13811 Beach Channel Dr Unit 8C,1017,1,349000
Townhouse for sale,New York County,4,422 E 84th St,2184.207862,4,5950000
House for sale,Queens County,3,61-23 Booth St,1344,2,968000
Condo for sale,Queens,2,64-34 Grand Central Pkwy Unit 2A,2184.207862,2,569000
Condo for sale,Staten Island,1,20 Cliff St Apt 8F,650,1,238000
Multi-family home for sale,Queens County,6,71-12 66th St,5712,6,1200000
Co-op for sale,New York,4,255 W 90th St Apt 9C,2184.207862,3,4995000
House for sale,Queens County,3,32-26 Parsons Blvd,1596,2,911600
House for sale,Bronx County,3,3088 Heath Ave,1144,2,598000
Condo for sale,Queens,1,85-28 Grand Ave Unit 4C,700,1,472000
House for sale,Queens County,1,133-38 130th St,2184.207862,2,549000
Multi-family home for sale,Richmond County,3,639 Tompkins Ave,12200,2.373860858,3995000
Condo for sale,Queens,1,85-28 Grand Ave Unit 4C,700,1,472000
House for sale,Bronx County,3,3088 Heath Ave,1144,2,598000
House for sale,Kings County,5,1625 71st St,1200,3,1085000
Multi-family home for sale,Kings County,3,664 Crescent St,1535,2,680000
Condo for sale,Bronx County,1,1561 Unionport Rd Apt Td,637,2.373860858,200000
Co-op for sale,Queens,2,144-55 Melbourne Ave Unit 1H,1000,1,210000
Townhouse for sale,Richmond County,2,51 Anaconda St,996,2,525000
Multi-family home for sale,Kings County,5,7312 Avenue U,2184.207862,3,999000
Multi-family home for sale,Staten Island,3,2401-2407 Richmond Rd Unit A,5400,1,1799000
Townhouse for sale,New York County,9,2074 Fifth Ave,5000,5,1900000
House for sale,Queens County,3,99-50 164th Ave,1200,2,519000
House for sale,Richmond County,4,305 S Greenleaf Ave,960,1,728900
Co-op for sale,Queens County,2,110-11 Queens Blvd Unit 6L,2184.207862,1,549000
Pending,Richmond County,6,490 Jansen St,4346,2.373860858,2300000
Co-op for sale,Queens,2,1835 Corporal Kennedy St Apt 2F,1300,2,299999
Pending,Kings County,7,729 E 18th St,2832,4,1800000
Co-op for sale,New York,2,25 W 13th St Apt 1ON,2184.207862,2,1195000
Co-op for sale,Queens,1,86-16 60th Ave Unit 2N,2184.207862,1,200000
Pending,Richmond County,6,490 Jansen St,4346,2.373860858,2300000
Pending,Kings County,7,729 E 18th St,2832,4,1800000
Co-op for sale,Queens,2,1835 Corporal Kennedy St Apt 2F,1300,2,299999
Condo for sale,Brooklyn,2,2818 W 17th St Apt 1B,1095,2,599000
Pending,Kings County,3,329 Vanderbilt Ave,3050,4,7500000
Co-op for sale,New York,2,124 Thompson St Unit 27/28,2184.207862,2,1775000
Multi-family home for sale,Kings County,6,124 Norwood Ave,2184.207862,3,1059000
House for sale,Richmond County,3,661 Ocean Ter,1672,4,1288888
Multi-family home for sale,Kings County,8,1210 E 72nd St,3448,4,1299999
House for sale,Richmond County,3,316 Brehaut Ave,2700,2,1399999
House for sale,Bronx County,3,4316 Ely Ave,2410,2,725000
Co-op for sale,Queens,1,123-35 82nd Rd Unit 3R,2184.207862,1,232500
Co-op for sale,New York,3,11 St Nicholas Ave Unit 3E,2184.207862,1,250000
House for sale,Kings County,2,1755 E 51st St,862,2,639000
House for sale,Queens County,4,115-14 10th Ave,2060,4,950000
Condo for sale,New York,3,47 Mercer St Apt 2,4000,2,12500000
Co-op for sale,Queens,2,65-15 38th Ave Unit 3D,2184.207862,1,430000
Co-op for sale,New York,3,5 Tudor City Pl Apt 1426,2184.207862,1,299000
Co-op for sale,Bronx County,3,2199 Holland Ave Unit Le,1400,1,279000
House for sale,Kings County,3,132 91st St,1508,2,1725000
Multi-family home for sale,Richmond County,4,66 Archwood Ave,3620,4,1698000
House for sale,Richmond County,2,123 Jamie Ln,1354,2,438000
Co-op for sale,Queens,3,1040 Neilson St Apt 3A,512,1,100000
Co-op for sale,Queens,1,37-20 81st St Unit 2E,2184.207862,1,299000
Condo for sale,Queens,2,2 Bay Club Rd Unit 1M,995,2,625000
House for sale,Kings County,3,399 Linwood St,1520,2.373860858,350000
Co-op for sale,Brooklyn,3,1040 Carroll St Unit 6B,2184.207862,2,699999
Co-op for sale,New York,1,301 E 22nd St Apt 2R,2184.207862,1,529000
Townhouse for sale,New York County,5,334 W 20th St Unit Townhouse,7058,6,23000000
House for sale,Queens County,3,88-20 78th St,1208,2,599000
Co-op for sale,The Bronx,1,1020 Grand Concourse Apt 14D,900,1,279900
Co-op for sale,The Bronx,1,205 E 238th St Apt 1J,875,1,165000
Co-op for sale,Brooklyn,1,2155 82nd St Apt 5O,2184.207862,1,270000
Condo for sale,Queens,2,4-74 48 Ave Ph 3C,825,1,625000
Co-op for sale,The Bronx,1,1020 Grand Concourse Apt 14D,900,1,279900
Townhouse for sale,New York County,5,334 W 20th St Unit Townhouse,7058,6,23000000
Pending,Queens County,4,303 Knollwood Ave,3111,4,1970000
Multi-family home for sale,Kings County,5,49 3 Brighton Ct,1780,2,580000
Condo for sale,Brooklyn,3,324 77th St Apt 2C,1272,2,979000
Co-op for sale,New York,2,2090 Madison Ave Apt 3D,2184.207862,1,269000
House for sale,Queens County,3,137-25 133rd Ave,2184.207862,4,1700000
Co-op for sale,New York,2,519 E 87th St Apt D,2184.207862,2,499000
House for sale,Queens County,3,160-14 83rd St,2275,3,1699888
House for sale,Queens County,6,555 Oak Dr,2184.207862,4,3100000
House for sale,Bronx County,4,2712 Heath Ave,1752,2,499000
Multi-family home for sale,Queens County,6,95-18 42 Ave,3312,2.373860858,1250000
Co-op for sale,Brooklyn,2,2260 Burnett St Apt 1F,900,1,245000
Townhouse for sale,Kings County,7,39 S Portland Ave,6360,5,5800000
House for sale,Richmond County,5,144 Dunham St,4270,4,2350000
Co-op for sale,New York,3,410 W 23rd St Apt 6E,450,1,425000
House for sale,Richmond County,3,825 Rockland Ave,2340,2,799000
Multi-family home for sale,Kings County,4,445 Milford St Unit 04457-0058,1700,2,725000
Co-op for sale,New York,2,292 Lafayette St Apt 2E,1697,2,3695000
Pending,Queens County,4,145-38 3rd Ave,3600,2.373860858,3100000
House for sale,Queens County,5,114-15 91st Ave,2184.207862,3,1499999
House for sale,Queens County,4,32-15 168th St,2184.207862,3,1250000
House for sale,Kings County,4,7702 15th Ave,1840,1,1199000
Condo for sale,New York,4,443 Greenwich St Ph E,5000,4,28000000
Condo for sale,Queens,3,154-11 Riverside Dr Unit 17B,2184.207862,2,719000
Co-op for sale,Queens,3,72-61 113 St Unit 4B,2184.207862,1,169000
Co-op for sale,The Bronx,1,1177 Anderson Ave Apt 2D,850,1,99000
House for sale,Queens County,3,104-06 212 St,1601,2.373860858,399000
Condo for sale,New York,2,392 Central Park W Apt 1R,1140,2,1300000
Multi-family home for sale,Kings County,5,527 Glenmore Ave,2184.207862,4,888000
Multi-family home for sale,Queens County,4,17-20 150th St,2184.207862,3,1308888
House for sale,Queens County,3,64-30 72nd St,2184.207862,2,1265000
Condo for sale,Brooklyn,1,346 91st St Apt 307,751,1,558000
House for sale,Queens County,4,240-67 Poplar St,2340,2,1280000
Co-op for sale,Riverdale,2,3515 Henry Hudson Pkwy Apt 3D,1450,2,429000
Condo for sale,Staten Island,2,120 Wellington Ct Apt 1B,853,2,399900
House for sale,Richmond County,3,334 Harbor Rd,1040,1,499900
Co-op for sale,Riverdale,2,3515 Henry Hudson Pkwy Apt 3D,1450,2,429000
Multi-family home for sale,Kings County,4,230 7th St,2334,4,2489000
Condo for sale,Staten Island,1,422 Maryland Ave Apt 3D,950,1,255500
House for sale,New York County,5,15 Bank St,6000,2.373860858,30000000
Condo for sale,New York,3,233 E 86th St Apt 5D,2184.207862,1,395000
Multi-family home for sale,Queens County,5,507 127th St,2184.207862,3,1090000
Multi-family home for sale,Kings County,4,672 Van Siclen Ave,2175,2,471300
Condo for sale,New York,2,60 Greene St Apt 4,3918,3,9450000
House for sale,Kings County,4,649 Bay Ridge Pkwy,1720,2,1089000
Co-op for sale,Brooklyn,1,767 Eastern Pkwy Apt 1A,500,1,220000
Townhouse for sale,New York County,10,120 E 19th St,8000,10,9950000
Co-op for sale,Queens County,2,234-18 131st Ave Unit Lower,950,1,295000
House for sale,Richmond County,5,19 Bascom Pl,2704,4,1375000
Co-op for sale,Brooklyn,2,2944 W 5th St Apt 19C,1050,2,399000
Co-op for sale,The Bronx,2,3240 Riverdale Ave Apt 4B,800,1,219999
Co-op for sale,Queens,3,87-15 165th St Unit 2A,2184.207862,1,129000
Co-op for sale,Queens,1,48-17 42nd St Unit 4B,2184.207862,1,329000
House for sale,Richmond County,4,2341 Richmond Rd,1856,2,639000
Contingent,Richmond County,4,114 McArthur Ave,1240,4,750000
House for sale,Richmond County,3,12 Irving Pl,1763,2,499999
Co-op for sale,Queens,2,110-20 71 Ave Unit 330,2184.207862,2,560000
Townhouse for sale,Queens County,3,102-37 68th Ave,1513,2,1268000
House for sale,Kings County,7,2719 Whitman Dr,2800,4,1899000
Co-op for sale,Queens,3,87-15 165th St Unit 2A,2184.207862,1,129000
Co-op for sale,Queens,3,69-10 108 St Unit 4C,1600,2,888000
Multi-family home for sale,Kings County,20,7222 3rd Ave,7200,8,2100000
House for sale,Richmond County,5,29 Annfield Ct,6707,2.373860858,2900000
House for sale,Queens County,4,146-11 Delaware Ave,2184.207862,2.373860858,1250000
Condo for sale,Queens,3,100-25 Queens Blvd Unit 4BB,2184.207862,2,1078000
House for sale,Kings County,4,70 81st St,2950,4,3200000
Co-op for sale,New York,1,622 W End Ave Apt 4E,2184.207862,1,555555
Co-op for sale,Queens,1,35-31 85th St Unit 6C,2184.207862,1,293900
House for sale,Kings County,3,6810 Madeline Ct,1192,2,1175000
Land for sale,Queens County,3,110-42 213th St,2184.207862,2.373860858,160000
Contingent,Kings County,3,560 Bay Ridge Ave,1880,2,999999
House for sale,Queens County,5,84-19 253rd St,2000,4,1448000
House for sale,Kings County,6,2390 National Dr,5436,5,2950000
Co-op for sale,Queens,3,99-10 60 Ave Unit 5L,600,1,150000
Condo for sale,Brooklyn,2,160 72nd St Apt 713,673,1,354900
Condo for sale,Queens County,2,93-05 37th Ave Unit 5A,2184.207862,2,580000
House for sale,Queens County,3,63-44 72nd St,1776,2,969000
Condo for sale,Kings County,1,2286 Cropsey Ave Unit 6D,538,1,530000
House for sale,Queens County,5,14458 Boulevard,7723,6,3900000
Condo for sale,Brooklyn,3,1070 E 73rd St Unit 4C,2184.207862,2,624999
House for sale,Kings County,3,1606 E 45th St,2184.207862,2.373860858,551000
Townhouse for sale,New York County,8,135 E 15th St,2184.207862,10,14800000
House for sale,Bronx County,3,102 Pilot St,1122,2.373860858,450000
Condo for sale,Richmond County,2,26 Katan Loop Unit B,1296,1,475000
Condo for sale,New York,3,100 Manhattan Ave Apt 4A,2184.207862,2,995000
Co-op for sale,New York,1,411 E 57th St Apt 16B,2184.207862,1,650000
Co-op for sale,Queens,2,83-55 Woodhaven Blvd Unit 6K,2184.207862,1,250000
Co-op for sale,The Bronx,3,3121 Middletown Rd Apt 1C,600,1,125000
Co-op for sale,New York,3,336 Central Park W Apt 3B,2195,3,2200000
Condo for sale,New York,2,200 Bowery Apt 2C,2184.207862,1,925000
House for sale,Kings County,3,2072 E 74th St,2184.207862,2,639000
House for sale,Queens County,3,114-06 194 St,1509,2.373860858,215000
House for sale,Richmond County,6,254 Flagg Pl,5600,6,2050000
Co-op for sale,Bronx County,2,4320 Van Cortlandt Park E Apt R,1050,2,279000
Condo for sale,Brooklyn,2,16 Bay 25th St Unit 4A,968,2,785000
House for sale,Richmond County,3,72 Boone St,1312,2,669000
Multi-family home for sale,Kings County,4,35 Joralemon St,2880,4,3650000
Townhouse for sale,New York County,4,51 W 95th St,3740,4,6700000
Multi-family home for sale,Kings County,6,694 Ashford St,2184.207862,3,681000
Multi-family home for sale,Richmond County,2,87 Murdock Pl,1672,2,530000
Condo for sale,Brooklyn,2,984 Bergen Residence St Apt 1,1580,2,1700000
Co-op for sale,Brooklyn,1,9437 Shore Rd Apt C8,1085,1,339000
House for sale,Kings County,3,1883 E 53rd St,1224,2,800000
Co-op for sale,The Bronx,1,6535 Broadway Apt 1G,700,1,189000
Co-op for sale,New York,5,740 Park Ave # 4 & 5B,2184.207862,2.373860858,48000000
Co-op for sale,New York,2,14 E 75th St Unit 9D,2184.207862,2,4995000
Contingent,Richmond County,5,393 Guyon Ave,2050,2,835000
House for sale,New York,2,333 E 91st St Apt 10B,1198,2,999999
Condo for sale,Queens,3,61-20 71st Ave Unit F2A,877,2,575000
Pending,Brooklyn,1,483 17th St # 2L,2184.207862,1,349750
Co-op for sale,New York County,1,116 Pinehurst Ave Apt B52,2184.207862,1,385000
Townhouse for sale,New York County,4,20 Jones St,3397,2,7950000
Pending,The Bronx,2,5715 Mosholu Ave Apt 6B,1100,2,324900
Co-op for sale,Brooklyn,3,275 Webster Ave Apt 6G,2184.207862,1,175000
Multi-family home for sale,Queens County,5,26-39 93rd St,2184.207862,3,915999
Multi-family home for sale,Kings County,12,1727 E 14th St,5250,8,1850000
Condo for sale,New York,5,111 Murray St Ph 2,7488,6,40000000
Pending,The Bronx,2,5715 Mosholu Ave Apt 6B,1100,2,324900
Multi-family home for sale,Kings County,12,1727 E 14th St,5250,8,1850000
Co-op for sale,The Bronx,1,190 E Mosholu Pkwy S Apt 3B,800,1,175000
Pending,New York,2,236 E 6th St Apt 3W,775,1,850000
House for sale,Queens County,4,118-18 225th St,2184.207862,2,729000
Townhouse for sale,Kings County,6,136 Kane St,4000,4,5995000
Co-op for sale,Queens,2,66-36 Yellowstone Blvd Unit 22B,2184.207862,1,480000
House for sale,New York County,5,164 W 88th St,4480,4,4200000
Townhouse for sale,Queens County,4,68-09 Olcott St,2184.207862,2,1198000
House for sale,Kings County,6,976 Ocean Ave,3676,2.373860858,1848000
Co-op for sale,Brooklyn,1,1293 E 5th St Apt 6B,750,1,285000
Multi-family home for sale,Queens County,5,43-06 Rockaway Beach Blvd,2460,3,849000
House for sale,Bronx County,3,1764 Undercliff Ave,1250,2,549000
Co-op for sale,Queens,2,26910 Grand Central Pkwy Apt 12O,1700,2,729000
Co-op for sale,Queens,1,209-10 41st Ave Unit 1F,2184.207862,1,199999
House for sale,Bronx County,8,5040 Goodridge Ave,9000,2.373860858,4900000
Multi-family home for sale,Bronx County,4,4217 Seton Ave,1728,2,600000
House for sale,Queens County,3,111-20 145th St,1340,1,599000
Multi-family home for sale,Kings County,5,716 Decatur St,2268,2,599000
Condo for sale,Brooklyn,3,1322 E 14th St Apt 4B,1185,2,725000
Multi-family home for sale,Kings County,3,2506 E 65th St,2600,2,1295000
Multi-family home for sale,Richmond County,3,849 Rossville Ave,1500,2,798888
House for sale,Queens County,3,89-22 210th Pl,1800,1,529000
Multi-family home for sale,Richmond County,3,327 Brehaut Ave,2400,2.373860858,999998
Pending,New York,1,265 W 131st St Apt 5,615,1,499000
Multi-family home for sale,Richmond County,12,174-176 Camden Ave,3000,7,1550000
Co-op for sale,Queens,2,67-41 Burns St Unit 414,2184.207862,1,319000
Contingent,Richmond County,3,419 Ogorman Ave,1424,4,759000
Co-op for sale,New York,3,5 Tudor City Pl Apt 1818,260,1,245000
Multi-family home for sale,Kings County,5,2171 W 7th St,1548,3,1249000
Condo for sale,Staten Island,2,449 Medina St Apt 2C,939,1,455000
Co-op for sale,Queens,2,67-41 Burns St Unit 414,2184.207862,1,319000
Multi-family home for sale,Kings County,4,29 Bay 10th St,2024,2,999900
House for sale,Richmond County,2,170 Baden Pl,666,1,395000
Condo for sale,New York,1,112 W 72nd St Ph C,430,1,620000
Multi-family home for sale,Richmond County,4,643 Huguenot Ave,3264,2.373860858,1295000
Condo for sale,Brooklyn,3,398 Kings Hwy Unit 308,1241,2,849000
Co-op for sale,New York,5,38 W 26th St Unit 9TH,5500,4,8995000
Co-op for sale,Brooklyn,3,116 Cambridge Pl Apt 3C,2184.207862,1,650000
Condo for sale,New York,2,120 E 87th St Apt R26B,1452,2,2995000
Condo for sale,Queens,2,83-71 116th St Unit 4E,800,1,495000
House for sale,Richmond County,3,7 Norwood Ct,1222,2,675000
Condo for sale,New York,3,10 W End Ave Apt 8J,600,1,999000
Condo for sale,Kings County,2,415 DE Graw St Unit Ph,1334,2,2250000
Multi-family home for sale,Bronx County,9,790 Olmstead Ave,3720,4,1299000
Condo for sale,Coney Island,1,501 Surf Ave Apt 9D,640,1,429000
House for sale,Queens County,3,139-32 Laurelton Pkwy,2184.207862,2,649999
Townhouse for sale,New York County,7,318 W 81st St Unit Townhouse,9000,6,10995000
Townhouse for sale,Kings County,5,26 Rutland Rd Unit Townhouse,3000,4,2050000
Pending,New York,4,100 W 119th St Apt 3A,1456,2,1299000
House for sale,Kings County,6,1455 E 15th St,2200,2,1075000
Co-op for sale,Brooklyn,1,3105 Avenue V Apt 1H,800,1,174000
House for sale,Richmond County,2,1085 Todt Hill Rd,1518,2,1193000
House for sale,Kings County,4,464 1st St,2184.207862,4,4995000
Townhouse for sale,New York County,9,180 Second Ave,10500,2.373860858,12500000
House for sale,Kings County,5,185 Highland Blvd,2828,4,898000
Multi-family home for sale,Queens County,5,147-18 16th Rd,1500,3,1288000
House for sale,Richmond County,4,106 Overlook Ave,2600,4,1749999
Condo for sale,Queens,2,101-02 Shore Front Pkwy Unit 26A,1253,2,575000
Condo for sale,New York County,4,201 W 17th St Ph F,2183,2,5100000
Condo for sale,New York,1,108 Reade St Unit 4W,1321,2,2000000
Co-op for sale,The Bronx,2,3555 Kings College Pl Apt 2G,850,1,170000
Co-op for sale,Brooklyn,2,28 Old Fulton St # Thf,2100,2,1295000
House for sale,Richmond County,3,767 Brighton Ave,1332,2,749000
Multi-family home for sale,Kings County,3,1862 84th Ave,3640,4,1848000
Co-op for sale,New York,2,420 E 51st St Apt 10C,2184.207862,2,465000
Co-op for sale,Queens County,2,229-17 87th Ave Unit Upper,2184.207862,1,298999
Co-op for sale,Brooklyn,1,3845 Shore Pkwy Apt 5H,780,1,209900
Co-op for sale,Brooklyn,1,385 E 18th St Apt 6J,2184.207862,1,539000
House for sale,Kings County,3,474 Sterling Pl,2184.207862,2,2975000
Multi-family home for sale,Queens County,6,97-19 63rd Dr,2184.207862,5,2099000
Co-op for sale,The Bronx,1,55 E 190th St Apt 3,925,1,199900
Co-op for sale,New York,2,400 E 77th St Apt 4E,2184.207862,1,789000
House for sale,Kings County,3,941 Newkirk Ave,1565,2,919000
House for sale,Kings County,3,3708 Avenue M,2184.207862,2,815599
Multi-family home for sale,Richmond County,4,97 Excelsior Ave,3305,4,1050000
Co-op for sale,The Bronx,1,2550 Independence Ave Apt 3C,830,1,289999
Co-op for sale,New York,4,1060 Fifth Ave Unit 3C,2184.207862,3,4050000
Townhouse for sale,Kings County,3,5622 14th Ave,3375,2.373860858,7750000
Multi-family home for sale,Kings County,6,578 Ovington Ave,3192,3,1998000
Condo for sale,New York,3,425 14th St Unit D1 /D2,1281,2,1250000
Condo for sale,Queens,2,167-09 Powell Cove Blvd Unit 26,1058,2,680000
House for sale,Kings County,4,2066 66th St,2184.207862,2,1299000
Multi-family home for sale,Queens County,4,109-06 112th St,2184.207862,2.373860858,899000
Condo for sale,Queens,3,83-09 Talbot St Unit 5N,2184.207862,2,845000
House for sale,Queens County,5,147-48 8th Ave,1200,4,2098000
Co-op for sale,Brooklyn,2,9201 Shore Rd Apt C507,1300,2,899000
House for sale,Queens County,3,203-03 34th Ave,2184.207862,1,758888
Co-op for sale,New York,2,332 W 101st St Apt 2R,2184.207862,1,650000
Co-op for sale,Queens,1,165-20 Highland Ave Unit 105,850,1,169000
Multi-family home for sale,Queens County,5,58-16 83rd Pl,2184.207862,3,1350000
Co-op for sale,Queens,2,35-25 77th St Unit A16,2184.207862,2,695000
Multi-family home for sale,Kings County,5,18 Covert St,2280,2,1499000
Pending,Brooklyn,3,192 Water St Ste C,381,2.373860858,395000
Co-op for sale,Queens,1,165-20 Highland Ave Unit 105,850,1,169000
Pending,Brooklyn,3,192 Water St Ste C,381,2.373860858,395000
Co-op for sale,New York,1,25 Tudor City Pl Apt 419,2184.207862,1,445000
Townhouse for sale,Richmond County,3,181 Morningstar Rd,1400,2,499000
Co-op for sale,New York,3,440 E 56th St Apt 4D,2184.207862,1,449000
House for sale,Richmond County,4,2760 Amboy Rd,1120,2,649000
Co-op for sale,Brooklyn,1,7901 4th Ave Apt E5,756,1,335000
Multi-family home for sale,Queens County,8,155-17/19 113th Ave,2184.207862,4,838000
Condo for sale,Brooklyn,2,84 Front St Apt 2B,1098,2,1495000
Multi-family home for sale,Bronx County,4,262 Zerega Ave,3068,4,980000
House for sale,Kings County,3,2805 W 28th St,1344,2,688000
Multi-family home for sale,Kings County,6,1319 E 96th St,2184.207862,3,679000
Pending,Queens County,4,29-31 159th St,1900,2,999888
Co-op for sale,New York,1,240 E 55th St Apt 8E,500,1,375000
House for sale,Queens County,2,53-15 37th Rd,2184.207862,2,848724
Townhouse for sale,New York County,3,511 W 144th St Unit Townhouse,2184.207862,8,1595000
Condo for sale,Queens,2,164 Beach 101st St Unit 15A,1253,2,568000
Multi-family home for sale,Richmond County,4,7739 Amboy Rd,3980,2.373860858,1153000
Multi-family home for sale,Queens County,10,3505 214th Pl,2184.207862,5,2399000
Co-op for sale,Kings County,1,510 Ocean Pkwy Apt 4D,800,1,349000
Multi-family home for sale,Kings County,5,226 12th St,3600,6,2999990
Townhouse for sale,Queens County,3,50-07 63rd St,1400,2,899000
Co-op for sale,Queens,1,21-57 33rd St Unit 5D,2184.207862,1,169000
House for sale,Richmond County,4,46 Elizabeth St,1217,3,449999
Foreclosure,Queens County,6,133-29 Amber St,2116,4,886545
Townhouse for sale,Richmond County,3,75 N Burgher Ave,1280,2,495000
House for sale,Richmond County,4,142 Dixon Ave,2150,3,749000
House for sale,Queens County,4,79-26 268th St,2129,3,875000
Multi-family home for sale,Queens County,11,42-32 81st St,2184.207862,6,1630000
Condo for sale,New York,2,150 W 51st St Apt 808,720,1,849000
Pending,The Bronx,1,6535 Broadway Apt 3G,650,1,110000
Pending,Brooklyn,2,124-21 Flatlands Ave Unit 8B,650,1,299999
Co-op for sale,Queens,3,18-50 211 St Unit 3D,2184.207862,2,335000
Co-op for sale,Brooklyn,3,7002 Ridge Blvd Apt D11,1200,1,549000
Co-op for sale,Kings County,3,2483 W 16th St Apt 3C,1250,2,445000
Contingent,Richmond County,2,382 Sprague Ave,1188,1,459000
House for sale,Richmond County,4,73 Irving Pl,1252,2,399998
Condo for sale,Brooklyn,4,1 John St # E,3655,4,9500000
Pending,Kings County,4,121 86th St,1957,2,999000
House for sale,Kings County,4,954 Brooklyn Ave,1482,2,650000
House for sale,Richmond County,3,20 Gabriele Ct,2100,4,880000
House for sale,Queens County,5,80-31 188th St,2082,3,1350000
Condo for sale,Queens,2,131-19 Fowler Ave Unit 2C,2184.207862,2,599000
Co-op for sale,Queens,1,35-45 204 St Unit 399,2184.207862,1,225000
Co-op for sale,New York,3,273 Bennett Ave Apt 6E,2184.207862,1,220000
Co-op for sale,The Bronx,3,2199 Holland Ave Apt 5N,2184.207862,1,289000
Pending,New York,1,2088 Madison Ave Apt 1A,2184.207862,1,350000
House for sale,Queens County,5,80-31 188th St,2082,3,1350000
House for sale,Richmond County,3,20 Gabriele Ct,2100,4,880000
House for sale,Queens County,3,108-16 36 Ave,2184.207862,2,719999
Condo for sale,Brooklyn,2,170 Broadway Apt 6A,807,1,1100000
Co-op for sale,Bronx County,2,800 Grand Concourse Ave Unit Gjn,950,1,259000
Multi-family home for sale,Kings County,6,370 Marion St,2754,3,1699999
House for sale,Queens County,4,134-25 241st St,2184.207862,2,669000
House for sale,Bronx County,6,5000 Goodridge Ave,6290,6,3400000
Condo for sale,Queens,3,86-02 Dumont Ave Unit 1B,2184.207862,2,549000
