type,location,bed,address,total_sqft,bath,price
Multi-family home for sale,Queens County,5,130-24 150th St,2184.207862,2,250000
Pending,Queens,6,254-06 Craft Ave Unit 2,3384,2.373860858,950000
House for sale,Richmond County,3,192 Colfax Ave,1100,2,585000
House for sale,Kings County,6,8200 Narrows Ave,2184.207862,6,8750000
House for sale,Kings County,3,1509 E 48th St,1316,1,595000
Condo for sale,New York,1,195 Prince St Unit 1LL,625,1,215000
For sale,New York County,1,The Rockwell # 3A,621,1,950000
House for sale,Kings County,3,850 E 39th St,1572,1,314000
Condo for sale,New York County,5,110 E 71st St Unit Medical,1000,1,395000
Multi-family home for sale,Bronx County,2,1406 Mac Donough Pl,2184.207862,2,600000
Multi-family home for sale,Richmond County,6,78 Mountainview Ave,2520,3,790000
Co-op for sale,Brooklyn,2,9425 Shore Rd Apt 4F,1100,2,539000
Co-op for sale,The Bronx,4,2501 Palisade Ave Apt H2,1995,2,1295000
House for sale,Bronx County,3,2942 Lurting Ave,2184.207862,1,245000
House for sale,Bronx County,7,340 E 234th St,2385,3,400000
House for sale,New York County,8,25 Riverside Dr,12000,8,55000000
Co-op for sale,Brooklyn,1,8015 6th Ave Apt A1,1000,1,280000
House for sale,Richmond County,3,40 Adelphi Ave,1440,2,899000
For sale,New York County,2,The Rockwell # 6E,1400,2,2280000
Coming Soon,Kings County,4,194 Carroll St,2184.207862,3,649000
Pending,Kings County,6,38 Dare Ct,2184.207862,4,739000
House for sale,Richmond County,4,31 4th Ct,3000,2.373860858,1495000
House for sale,Kings County,5,591 4th St,3528,2,3950000
Condo for sale,New York,2,122 E 102nd St Apt 5B,979,1,325000
Pending,New York,3,215 W 75th St Apt 4D,2184.207862,1,299999
Townhouse for sale,New York County,6,327 Convent Ave,4720,5,2695000
Pending,Kings County,6,1151 83rd St,3958,2.373860858,4800000
House for sale,Richmond County,3,364 Armstrong Ave,1360,3,694000
House for sale,Bronx County,4,761 S Oak Dr,2846,2,688888
House for sale,Kings County,4,781 Sheperd Ave,1980,2,400000
Multi-family home for sale,Queens County,5,103-12 104th St,2184.207862,2,346000
House for sale,Kings County,4,781 Sheperd Ave,1980,2,400000
Multi-family home for sale,Queens County,5,103-12 104th St,2184.207862,2,346000
House for sale,Queens County,3,135-38 224th St,2184.207862,1,265000
House for sale,Richmond County,3,57 Neutral Ave,1224,2,319000
Townhouse for sale,New York County,6,45 E 74th St,2184.207862,8,24800000
House for sale,New York County,9,421 W 154th St,3276,4,1100000
Multi-family home for sale,Queens County,6,2918 Brookhaven Ave,2184.207862,2,309000
House for sale,Queens County,3,237-14 93rd Rd,1522,2,650000
House for sale,Richmond County,4,604 Lamont Ave,1975,2,799000
Co-op for sale,Bronx County,3,7E Edgewater Park Unit E,1089,2,259000
House for sale,Richmond County,4,52 Indale Ave,2704,4,1195000
